"","securities.name","year.code","month.code","KV2001","KV2002","KV2003","KV2004","KV2005","KV2006","KV2007","KV2008","KV2009"
"1","SECURITIES#01",2011,3,NA,NA,111.631775159186,7.42248406301256,1.33687782300371,16.6802146040912,NA,-5.95086904609435,NA
"2","SECURITIES#01",2011,6,NA,NA,116.645891213149,3.19692463595709,0.469800191665063,4.21089476220602,NA,0.894234793910955,NA
"3","SECURITIES#01",2011,9,NA,NA,109.655495366989,5.16786863968913,0.751955068008026,10.9224232452675,NA,16.4304202916618,NA
"4","SECURITIES#01",2011,12,NA,NA,112.446781298534,5.86253980345063,1.0804196265409,12.0957685255742,NA,6.32813329913281,NA
"5","SECURITIES#01",2012,3,NA,NA,113.030863655994,6.82949212851868,1.27709589037183,13.8766804504003,NA,0.902866369222163,NA
"6","SECURITIES#01",2012,6,NA,NA,104.082879827232,0.608703328669933,0.100182703262916,3.39451816754018,NA,1.7048812769249,NA
"7","SECURITIES#01",2012,9,NA,NA,104.761142091699,1.51712032541866,0.223000242639536,6.18109423749237,NA,-2.20858302098026,NA
"8","SECURITIES#01",2012,12,NA,NA,106.116362437525,3.32701364814089,0.528532388090674,11.7050033068069,NA,-7.06326897585413,NA
"9","SECURITIES#01",2013,3,NA,NA,107.495692233713,4.97806822578646,0.825091857895462,15.5887217349146,NA,-5.2768049105136,NA
"10","SECURITIES#01",2013,6,NA,NA,103.330357474984,1.64633059591604,0.256015672867749,7.10230512286001,NA,3.13150059880318,NA
"11","SECURITIES#01",2013,9,NA,NA,104.410857156408,2.15159898500408,0.32201893656435,8.83929127532132,NA,-5.94870580167796,NA
"12","SECURITIES#01",2013,12,NA,NA,103.651474073614,2.45027709883922,0.380471417272399,13.1021979630993,NA,-8.43207631936189,NA
"13","SECURITIES#01",2014,3,NA,NA,106.294930898832,1.30250153884598,0.184159782699061,3.90640558245527,NA,0.329019536211333,NA
"14","SECURITIES#01",2014,6,NA,NA,108.61605424065,3.52738861481228,0.5002146124725,7.61977280376546,NA,-3.65232106412747,NA
"15","SECURITIES#01",2014,9,NA,NA,109.685037797683,5.50760357407378,0.757666972959846,10.7166857173133,NA,-3.17991710922357,NA
"16","SECURITIES#01",2014,12,NA,NA,109.398886166014,6.89872747185098,0.937017759499272,14.6838205263993,NA,-5.76634103804545,NA
"17","SECURITIES#01",2015,3,589.310267857143,72.5534583173915,111.968623024014,3.50223145363718,0.422360581840353,4.73238370890748,NA,-3.01346100075893,380.588147770267
"18","SECURITIES#01",2015,6,636.444196428571,73.2858483253784,113.344991592201,6.34268828009471,0.781716967473355,8.23322720216624,NA,-4.14656035515199,379.159955941745
"19","SECURITIES#01",2015,9,633.058407738095,70.3592668272896,108.92572205129,7.67980960801293,0.920784867468956,13.984481436186,NA,15.1970230056984,359.486565616518
"20","SECURITIES#01",2015,12,596.549479166667,71.792143823976,107.851978482928,7.77153134625791,0.899101449820883,15.1654816336265,NA,4.33790945227095,320.129563481713
"21","SECURITIES#01",2016,3,1094.58333333333,69.8468847057836,105.723032257612,2.68026602113248,0.270437872959677,5.27857503039483,NA,5.75777899913822,292.950977923277
"22","SECURITIES#01",2016,6,1058.9494047619,71.0505343166292,105.87743841944,4.12714665461222,0.415836516529183,8.68967656044113,NA,3.74943106706051,279.755203287869
"23","SECURITIES#01",2016,9,1085.0275297619,65.1421649176042,105.858977150164,5.36052725231252,0.536929463128872,11.6892066981474,NA,-10.3233347035125,291.3920139855
"24","SECURITIES#01",2016,12,1479.21205357143,69.8047640629323,106.517981839021,5.98422308373964,0.742479741039181,14.9264362660182,NA,-11.3226027516667,334.031324861534
"25","SECURITIES#01",2017,3,1492.61383928571,70.1194792855851,110.388793125414,3.4891964000343,0.407186130591471,5.29612614119095,NA,-10.4339954318322,314.636132239292
"26","SECURITIES#01",2017,6,1777.08035714286,64.7736886523585,111.965918783504,6.10356116058318,0.738658739406147,8.83348382772731,NA,-13.7338699209296,346.717537696177
"27","SECURITIES#01",2017,9,1494.10193452381,64.645420862256,112.187977540204,8.95861405932226,1.02074693602593,12.0521030497233,NA,-17.2624082776176,269.945531390541
"28","SECURITIES#01",2017,12,1416.04836309524,65.9277995289627,111.230527525266,11.1339919397141,1.25789929220126,15.918999467734,NA,-23.2962773926543,244.125968390522
"29","SECURITIES#01",2018,3,924.456845238095,63.6948116528686,109.957510676677,3.96505429841441,0.410950711915881,5.81721318754465,NA,-2.07322753712022,188.452992773376
"30","SECURITIES#01",2018,6,953.680803571429,62.1236508540163,110.31809765818,6.85592320853754,0.71609341908219,9.84671584140662,NA,-1.96890061769568,182.062584751785
"31","SECURITIES#01",2018,9,1036.58779761905,61.4732702610282,111.208384914441,9.30549061030434,0.963845042671088,12.5210027076268,NA,-2.98858168722437,188.223590055347
"32","SECURITIES#01",2018,12,875.197172619048,59.2288170381547,109.35583027492,11.5736175490714,1.13527588595193,17.6744379323517,NA,0.87355516540865,164.726465729665
"33","SECURITIES#01",2019,3,415.947916666667,60.7891578921467,110.918792987269,5.40345641547129,0.500480629509095,6.63860312232976,NA,-13.3748320519797,126.452929897848
"34","SECURITIES#01",2019,6,440.94691748929,62.6589015653584,110.654533601052,9.01124819849989,0.827375271272766,11.4620464425697,NA,-15.6908029693631,124.287594905958
"35","SECURITIES#01",2019,9,389.913950456323,64.7575941093378,109.707541225341,11.3076084990569,1.09549645875555,16.6125176893254,NA,-17.6351770349764,120.265491797185
"36","SECURITIES#01",2019,12,545.791767554479,65.1774035528773,109.511540386277,12.0584928125222,1.23455431638184,19.332113665539,NA,-22.5367049589193,127.084274543875
