"","bank.code","year.code","month.code","KV001","KV002","KV003","KV004","KV005","KV006","KV007","KV008","KV009","KV010","KV011","KV012","KV013","KV014","KV015","KV016","KV017","KV018"
"1","BANK #1",2010,3,6.26047027009164,NA,NA,0.83848368955253,-2.23557197488235,Inf,25.6463639252426,Inf,33.7422596721397,5.39384223331914,106.772494161925,1.37341952659629,0.847510251153728,-0.00902656160119751,Inf,Inf,21.7355563314623,1417.18000836767
"2","BANK #1",2010,6,6.02940224850311,NA,NA,0.855627029254364,-4.57557381143776,0.555533898595977,25.0534348365332,0.384348841328229,32.9060436060685,6.42830517443972,101.362568641345,2.38939025302863,2.35870838483017,-1.50308135557581,-31.186567966817,17.2100739933929,59.0937468177273,3862.66276074074
"3","BANK #1",2010,9,6.24495477202197,NA,NA,1.64078654351741,-7.06241336095877,-0.406936765896578,25.1298964786004,2.45780808349161,33.9558856526222,6.80173659241055,101.6516526886,3.97982091660229,3.18119141373873,-1.54040487022132,-97.2927884745422,23.7949381060358,79.9430109058669,5222.916731513
"4","BANK #1",2010,12,6.50981098913377,NA,NA,2.03369906831942,-9.63105629082445,1.68590473520889,26.292730041927,-3.68086445667209,33.6520762555502,6.26926524427164,97.2097637561082,5.06229054697661,4.16955443804724,-2.13585536972782,-48.916547669268,39.7938200829124,109.628969234695,7234.52530876674
"5","BANK #1",2011,3,7.75531792773719,NA,NA,0.783905869690548,-2.2944465143484,1.6925712293578,25.0067847368774,2.26776235272524,32.1872269995188,6.14811489954541,95.2515935786697,1.14274306732326,0.47647449872325,0.307431370967298,-125.910699954893,29.9552690577727,11.9150952221839,804.054455783412
"6","BANK #1",2011,6,7.79362079836034,NA,NA,2.15670316465681,-4.97522347513293,1.99205262791826,26.2416814278575,-0.741929172143699,32.8712987863466,5.13353903318169,96.8219652072328,2.47924776651249,1.65997105999865,0.496732104658153,39.1853089445877,16.1655485393473,43.5604317359476,2999.04860415652
"7","BANK #1",2011,9,7.71596182017947,NA,NA,2.87007529189145,-7.6100199786089,1.79702799507485,25.9019574281632,1.11829953711109,32.2294169682086,5.05043819497491,98.6094815887591,2.8828847539049,2.29932985801551,0.570745433875943,46.205765602344,13.95965349289,59.5571440956222,4159.94740079102
"8","BANK #1",2011,12,7.75020587979106,NA,NA,3.3697466047859,-10.4244836286914,2.22402572388774,26.4486619035892,-1.53895996228741,31.6982296684207,4.53100600821299,95.3566587373591,4.50358997053308,2.899138559883,0.470608044902898,37.5085877527056,15.1552207493283,76.6783355820041,407.928745296263
"9","BANK #1",2012,3,7.63409856280988,NA,NA,0.949878373102877,-2.5920311042131,0.971531212989494,26.3821644653284,2.56594897385373,32.1178145728591,4.87690612407477,94.4104147420589,1.04214243727751,0.556316065390426,0.393562307712452,-85.9025468272463,40.6340752268149,14.6768219318346,80.5904292277039
"10","BANK #1",2012,6,7.7700249920155,NA,NA,1.25198006347673,-5.26319399208434,0.739020397097506,27.1187820767912,-1.05510055525501,32.4266013424482,4.56798674717604,93.9440245070504,2.03725592540438,1.60318512481585,-0.351205061339119,-8.47825023973668,19.7694236163261,43.4764280286342,243.815808384581
"11","BANK #1",2012,9,7.83179453637813,NA,NA,1.99658934627768,-8.05673606973348,0.448909102576749,26.7955353200447,-0.447623548950371,31.754121051062,4.61242466804798,92.5878700551742,3.12178640269143,2.51832612216483,-0.521736775887144,40.7353887096004,10.6010126180565,67.4798965538588,316.615674630706
"12","BANK #1",2012,12,7.76317020602738,NA,NA,2.25489483711091,-10.4941226695127,4.38871344341471,27.6828400350001,-1.96782083676628,30.807993433183,4.63228632900108,94.360494666396,5.22675288951925,3.05085484266022,-0.795960005549304,-8.99181481336363,20.2725834547778,84.4563265793681,254.973649943113
"13","BANK #1",2013,3,7.79755298719736,NA,NA,0.316939613089114,-2.18417116501452,0.510712256527046,27.960759643702,2.19247723517801,31.6379483344291,4.7256450262741,94.7159443755595,0.629553238743393,0.713899568977616,-0.396959955888501,85.2718368894366,26.3923170773965,19.9611742579256,30.7601695314633
