"","life.name","year.code","month.code","KV3001","KV3002","KV3003","KV3004","KV3005","KV3006","KV3007","KV3008","KV3009","KV3010"
"1","LIFE#01",2011,3,238.384286626348,238.384287262591,6.54073913159569,Inf,6.5884907290431,Inf,21107.85,Inf,1274525.437,Inf
"2","LIFE#01",2011,6,205.112228789742,205.112228789742,6.92066299148558,2.15633423180593,6.27367555094223,1.2463169809107,19302.655,-8.55224478097011,317391.889,-75.0972495498338
"3","LIFE#01",2011,9,172.761101900719,172.761101900719,7.2014564057825,-7.65171503957784,6.11990774027999,0.407323819169934,25162.249,30.3564147004648,632324.872,99.2252776188619
"4","LIFE#01",2011,12,181.583092781696,181.583092781696,7.3489413904071,-5.14285714285715,6.11206016230214,-0.390367870800681,33819.307,34.404945281322,937220.347,48.2181689351609
"5","LIFE#01",2012,3,231.252235419424,231.252235419424,7.22044211787185,6.92771084337349,7.44316050637612,1.28176110880926,34045.874,0.669933893086581,1244321.56,32.7672370732259
"6","LIFE#01",2012,6,239.824393085421,239.82439358795,6.78063068484935,-7.04225352112676,7.81852534489613,0.14527001829824,22942.195,-32.6138756197007,310088.692,-75.0796978877389
"7","LIFE#01",2012,9,289.654913240272,216.560204383737,6.87172287879401,-15.4545454545454,8.96762201921731,1.67399149355073,38087.361,66.0144593836815,631309.233,103.58989195259
"8","LIFE#01",2012,12,278.260646016839,207.248817623127,6.90234121169305,1.61290322580645,8.48777377989563,0.117777229478622,60372.504,58.510598830935,958171.278,51.7752676365498
"9","LIFE#01",2013,3,278.299207753967,207.193799446996,7.09491311672566,-10.9347442680776,8.33249264637952,1.15512545145939,25811.134,-57.2468718541143,1284155.965,34.0215465110195
"10","LIFE#01",2013,6,214.886658440014,153.086618054358,7.47434601389198,14.4554455445545,6.77507901853012,1.74358689900716,13490.147,-47.735163437608,313540.261,-75.583942328999
"11","LIFE#01",2013,9,225.380123467896,165.021332886364,7.88095178458101,-2.7681660899654,6.91069379028932,1.2737884938653,27213.28,101.727082736756,621816.125,98.3209821337745
"12","LIFE#01",2013,12,204.13953384392,145.324762074219,8.50383479601894,1.24555160142349,6.25422419147415,0.565537395108009,32238.517,18.466120217776,922310.074,48.3252101254209
"13","LIFE#01",2014,3,215.879856391772,158.179533899902,9.20466350802584,0.91388400702987,6.49592817557804,0.826072627005938,15627.634,-51.5249600346071,294273.408,-68.0938746853588
"14","LIFE#01",2014,6,233.120157857317,174.246069495037,9.42752364561013,-6.75722744688262,6.77066054141174,1.040207890631,25329.897,62.0840173246955,585373.138,98.9215206288704
"15","LIFE#01",2014,9,246.643739270367,187.597783187863,9.66586890963303,-13.8961524094135,6.93679093606225,0.295051429872547,42349.539,67.1919115975876,875371.369,49.5407479733038
"16","LIFE#01",2014,12,207.662884860359,155.595432306939,9.92156218367497,-9.11062906724512,6.46460242632289,1.43044288796451,17199.757,-59.3862001661931,1169902.278,33.6463950536175
"17","LIFE#01",2015,3,211.216006225057,160.934686936836,11.304524345884,-17.8042959427208,6.63884271240461,3.26833991302252,18490.922,7.50687931230655,299683.1,-74.3839202952642
"18","LIFE#01",2015,6,201.506877816013,154.184368364008,11.2672844282475,3.54239256678281,6.35191699535147,1.02667279947197,47336.044,155.996126099066,590938.335,97.1877409837258
"19","LIFE#01",2015,9,201.236927566224,154.122015656703,11.800092610474,-12.1144139091419,6.26976777835983,1.32188290410404,45586.943,-3.69507219487966,888486.976,50.3518934847915
"20","LIFE#01",2015,12,182.355832910931,138.621296568183,12.5394060314816,5.93490746649649,5.92062778854063,0.747265718376774,51246.623,12.4151338684851,1189702.077,33.9020277321431
"21","LIFE#01",2016,3,190.244505880913,147.11483683088,14.1114896860859,-13.1927710843373,6.21146342219551,2.65515844410758,10795.155,-78.9348948905375,307203.789,-74.1780908902288
"22","LIFE#01",2016,6,204.337272564538,160.621317464543,13.7171213401583,-13.5322692574601,6.45950165101597,0.350685251302045,26123.723,141.994885668617,609310.685,98.3408756068435
"23","LIFE#01",2016,9,278.042358506685,229.69906134926,13.9112785186323,0.160513643659711,8.52177248000773,-0.43558996661416,37434.565,43.2972053791873,919645.127,50.9320531610241
"24","LIFE#01",2016,12,179.52341113699,140.162050325968,14.7782638707826,31.4102564102564,5.93845129138213,0.590922788067033,37573.38,0.370820390192847,1237479.007,34.5604919407136
"25","LIFE#01",2017,3,184.202370608037,143.744380031938,14.2957703448682,0.914634146341471,6.00995334488966,2.17965140970593,9279.19,-75.303818820665,331555.613,-73.2071727177187
"26","LIFE#01",2017,6,188.143694366742,147.604756562346,13.7034702039933,2.59818731117824,6.03360106218277,0.302626347458533,18470.156,99.0492273571292,660887.488,99.3293016577584
"27","LIFE#01",2017,9,175.404228257333,136.388781967549,13.3967100821229,11.2485276796231,5.81431535481848,1.66516773091105,27291.358,47.7592176265322,988891.371,49.6308205187265
"28","LIFE#01",2017,12,174.197620425919,135.77565966477,13.7807966029947,12.9698253043939,5.99394164539493,-1.27897718979312,29215.342,7.0497920990227,1317972.148,33.2777478548754
"29","LIFE#01",2018,3,174.634863107098,115.932585407615,14.8985481733798,3.84254920337396,5.55864588454554,2.09259808115409,19068.532,-34.7311012138759,336520.555,-74.4667931328698
"30","LIFE#01",2018,6,173.276159834761,113.017697076899,14.1122497832942,-4.15162454873647,5.41875137199721,-0.496287335380043,31172.099,63.474036700885,674348.509,100.388504945857
"31","LIFE#01",2018,9,169.04101587703,109.495642570145,14.0351680929347,-5.50847457627119,5.34788529072814,-0.0174876759297662,30600.514,-1.83364296385687,1013512.051,50.2949939791444
