index,KV001,KV002,KV003,KV004,KV005,KV006,KV007,KV008,KV009,KV010,KV011,KV012,KV013,KV014,KV015,KV016,KV017,KV018
1,6.26047027, , ,0.83848369,-2.235571975, ,25.64636393, ,33.74225967,5.393842233,106.7724942,1.373419527,0.847510251,-0.009026562, , ,21.73555633,1417.180008
2,6.029402249, , ,0.855627029,-4.575573811,0.555533899,25.05343484,0.384348841,32.90604361,6.428305174,101.3625686,2.389390253,2.358708385,-1.503081356,-31.18656797,17.21007399,59.09374682,3862.662761
3,6.244954772, , ,1.640786544,-7.062413361,-0.406936766,25.12989648,2.457808083,33.95588565,6.801736592,101.6516527,3.979820917,3.181191414,-1.54040487,-97.29278847,23.79493811,79.94301091,5222.916732
4,6.509810989, , ,2.033699068,-9.631056291,1.685904735,26.29273004,-3.680864457,33.65207626,6.269265244,97.20976376,5.062290547,4.169554438,-2.13585537,-48.91654767,39.79382008,109.6289692,7234.525309
5,7.755317928, , ,0.78390587,-2.294446514,1.692571229,25.00678474,2.267762353,32.187227,6.1481149,95.25159358,1.142743067,0.476474499,0.307431371,-125.9107,29.95526906,11.91509522,804.0544558
6,7.793620798, , ,2.156703165,-4.975223475,1.992052628,26.24168143,-0.741929172,32.87129879,5.133539033,96.82196521,2.479247767,1.65997106,0.496732105,39.18530894,16.16554854,43.56043174,2999.048604
7,7.71596182, , ,2.870075292,-7.610019979,1.797027995,25.90195743,1.118299537,32.22941697,5.050438195,98.60948159,2.882884754,2.299329858,0.570745434,46.2057656,13.95965349,59.5571441,4159.947401
8,7.75020588, , ,3.369746605,-10.42448363,2.224025724,26.4486619,-1.538959962,31.69822967,4.531006008,95.35665874,4.503589971,2.89913856,0.470608045,37.50858775,15.15522075,76.67833558,407.9287453
9,7.634098563, , ,0.949878373,-2.592031104,0.971531213,26.38216447,2.565948974,32.11781457,4.876906124,94.41041474,1.042142437,0.556316065,0.393562308,-85.90254683,40.63407523,14.67682193,80.59042923
10,7.770024992, , ,1.251980063,-5.263193992,0.739020397,27.11878208,-1.055100555,32.42660134,4.567986747,93.94402451,2.037255925,1.603185125,-0.351205061,-8.47825024,19.76942362,43.47642803,243.8158084
11,7.831794536, , ,1.996589346,-8.05673607,0.448909103,26.79553532,-0.447623549,31.75412105,4.612424668,92.58787006,3.121786403,2.518326122,-0.521736776,40.73538871,10.60101262,67.47989655,316.6156746
12,7.763170206, , ,2.254894837,-10.49412267,4.388713443,27.68284004,-1.967820837,30.80799343,4.632286329,94.36049467,5.22675289,3.050854843,-0.795960006,-8.991814813,20.27258345,84.45632658,254.9736499
13,7.797552987, , ,0.316939613,-2.184171165,0.510712257,27.96075964,2.192477235,31.63794833,4.725645026,94.71594438,0.629553239,0.713899569,-0.396959956,85.27183689,26.39231708,19.96117426,30.76016953
14,7.486152658, , ,0.595121732,-4.240527646,1.74166603,27.92464254,1.425652799,31.49893973,4.96944346,96.53097124,1.118991518,1.449974143,-0.854852411,43.70617645,41.57180161,40.49000964,20.44745487
15,7.702013792, , ,0.65170858,-6.189749031,0.119879191,28.82905295,2.861349716,33.40954726,4.918696923,98.71178293,1.999963687,2.789042059,-2.137333479,26.2285858,19.33842903,80.4054412,-12.94527603
16,7.490800278,11.23006947,12.89238642,0.647280076,-8.069694032,4.787694778,29.03450744,-1.752445585,31.5475865,4.417577,96.51083893,3.108897424,3.328412168,-2.681132092,-25.2380692,24.50641973,96.63880785,-9.084047938
