"","nonlife.name","year.code","month.code","KV4001","KV4002","KV4003","KV4004","KV4005","KV4006","KV4007","KV4008"
"1","NONLIFE#01",2011,3,256.554669450155,244.048702559239,3.21442400120216,42.9347671736652,10.6992564473793,Inf,284440,Inf
"2","NONLIFE#01",2011,6,260.965408888341,245.53457786542,3.49134851108922,43.3660020198838,12.8789746781262,1.2463169809107,122430,-56.9575305864154
"3","NONLIFE#01",2011,9,256.356086758288,244.172582991381,3.31159444213425,44.7229772502622,13.0635112214559,0.407323819169934,221247,80.7130605243813
"4","NONLIFE#01",2011,12,252.13025373349,241.606825786804,3.68737180367815,46.4037276097521,12.9492267158061,-0.390367870800681,322365,45.7036705582449
"5","NONLIFE#01",2012,3,261.820859973684,245.380749630746,3.40280838795225,49.4185693503702,12.5756515666039,1.28176110880926,403159,25.0628945450033
"6","NONLIFE#01",2012,6,261.77313696826,244.775086768992,3.59829050810156,50.5588379878936,12.0013076951363,0.14527001829824,112370,-72.1276221044303
"7","NONLIFE#01",2012,9,263.645534008402,249.075470528686,3.82253393945524,50.2993484104827,12.7802969745792,1.67399149355073,242646,115.934858058201
"8","NONLIFE#01",2012,12,254.369057395948,239.679752655919,3.56283824574997,49.3337531705322,12.0984274339423,0.117777229478622,330413,36.1708002604617
"9","NONLIFE#01",2013,3,254.595534391353,240.484930497863,3.66442832079732,45.6243070140182,13.0068399749781,1.15512545145939,412994,24.9932660034563
"10","NONLIFE#01",2013,6,231.40532460658,217.309881849264,3.34569544836828,44.9114091957633,11.5314922641929,1.74358689900716,97709,-76.3413027792171
"11","NONLIFE#01",2013,9,240.85412381938,226.420592242294,3.39400617292715,44.2898671699404,11.8490701234175,1.2737884938653,222704,127.925779610885
"12","NONLIFE#01",2013,12,238.121063923231,223.50682694666,3.36173614361112,42.9255130006303,11.6592108512759,0.565537395108009,306033,37.4169300955528
"13","NONLIFE#01",2014,3,229.7490787468,216.157005224135,3.34011597305794,43.4272636767472,11.6837663300323,0.826072627005938,98037,-67.9652194371195
"14","NONLIFE#01",2014,6,239.097950994783,226.03462490848,3.54792593366637,41.7972600944897,12.3076356412734,1.040207890631,233336,138.008098983037
"15","NONLIFE#01",2014,9,246.220045292018,233.276347397058,3.576627306809,40.9491785560512,12.6431288759165,0.295051429872547,323316,38.5624164295265
"16","NONLIFE#01",2014,12,224.213436429924,211.275680232477,3.38220593480178,40.2676398178757,12.5479401065862,1.43044288796451,400308,23.8132353486991
"17","NONLIFE#01",2015,3,232.623194149974,219.537087349141,3.4415094854007,40.3891028300893,12.6718025296143,3.26833991302252,94639,-76.3584539904274
"18","NONLIFE#01",2015,6,221.341857975981,208.580358632654,3.54115328422064,40.1538129824652,12.3728621038404,1.02667279947197,237357,150.802523272647
"19","NONLIFE#01",2015,9,232.916202482308,219.847350004218,3.16611032203914,39.5697268516684,12.4466691540637,1.32188290410404,349172,47.10836419402
"20","NONLIFE#01",2015,12,210.912401260032,198.779607159595,3.54669733511708,39.1163565532757,12.0494563357714,0.747265718376774,412672,18.1858797383524
"21","NONLIFE#01",2016,3,217.058077444917,204.95585248508,3.62198481412203,37.9965385514357,12.088046807461,2.65515844410758,88010,-78.6731350806452
"22","NONLIFE#01",2016,6,230.124340675209,217.753862211886,3.53578818374472,37.7971243447141,12.6606347308052,0.350685251302045,237585,169.95227815021
"23","NONLIFE#01",2016,9,258.851050356746,246.614829922957,3.5377176182735,38.2784967958192,13.7821314586646,-0.43558996661416,419308,76.4875728686575
"24","NONLIFE#01",2016,12,173.158497942156,161.296065543877,4.18799272863988,37.4010190570637,11.5875089286771,0.590922788067033,470171,12.1302240834899
"25","NONLIFE#01",2017,3,178.509280145904,166.201708213128,4.09982777771585,38.2595255021482,11.4747460697889,2.17965140970593,159298,-66.1191353784049
"26","NONLIFE#01",2017,6,207.757957114534,175.56271641812,4.12516116665281,39.1124314667048,11.8634520725538,0.302626347458533,369807,132.147924016623
"27","NONLIFE#01",2017,9,204.458017992504,173.142489364779,4.30670299103004,36.9978199561576,11.8826397040088,1.66516773091105,525223,42.0262461229777
"28","NONLIFE#01",2017,12,201.621028643193,170.267796650908,4.28556665193118,36.9437770169772,11.8049718177218,-1.27897718979312,622051,18.4355978317781
"29","NONLIFE#01",2018,3,198.053225752435,163.521322700174,4.19693219912558,34.8486704287466,11.1612126872094,2.09259808115409,110164,-82.2901980705762
"30","NONLIFE#01",2018,6,198.422759493792,163.744279297579,4.23724150461937,33.8248077765156,11.1924600982602,-0.496287335380043,300128,172.437456882466
"31","NONLIFE#01",2018,9,206.685103576515,172.208616281268,4.18300988143238,32.1788659688796,11.7135509237345,-0.0174876759297662,451690,50.4991203753065
"32","NONLIFE#01",2018,12,216.24920527614,179.907008772601,4.18963321475412,29.6061646501756,12.3472507971868,-0.206712692516637,514792,13.9702008014346
"33","NONLIFE#01",2019,3,229.415107588941,192.153025932311,4.13999759813634,29.9172282460752,12.8437078601012,0.55414384532774,99201,-80.7298870223314
"34","NONLIFE#01",2019,6,239.162260184254,204.668992646545,4.29294159814447,28.1800479014585,13.6005413846481,-0.704930114743754,206250,107.911210572474
"35","NONLIFE#01",2019,9,247.454809917225,213.749708416586,4.37514119973367,27.6108071819636,14.2288748389952,-0.116791345929498,328742,59.3900606060606
"36","NONLIFE#01",2019,12,223.780338618519,190.624600081297,4.43949360939156,28.3934408151089,13.100645436363,0.911111298258797,372691,13.3688424357095
"37","NONLIFE#01",2020,3,218.078981377553,185.831571971646,4.56268948961463,27.2112762641359,12.8146258630546,-0.483342495200724,137593,-63.0812120496604
