iter	Passed	Remaining
462	761	883
463	762	881
464	763	878
465	765	876
466	766	874
467	767	872
468	768	870
469	769	868
470	770	865
471	772	863
472	773	861
473	774	859
474	775	857
475	776	854
476	777	852
477	779	850
478	780	848
479	781	846
480	782	844
481	783	842
482	784	839
483	785	837
484	787	835
485	788	834
486	789	831
487	790	829
488	792	827
489	793	825
490	794	823
491	795	821
492	796	819
493	798	817
494	799	815
495	800	813
496	801	811
497	802	809
498	804	807
499	805	805
500	806	803
501	807	801
502	809	799
503	810	797
504	811	795
505	812	793
506	814	791
507	815	790
508	817	788
509	818	786
510	819	784
511	820	782
512	822	780
513	823	778
514	824	776
515	825	774
516	826	772
517	827	770
518	829	768
519	830	766
520	831	764
521	832	762
522	833	760
523	835	758
524	836	756
525	837	754
526	838	752
527	840	751
528	841	749
529	842	747
530	843	745
531	844	743
532	846	741
533	847	739
534	848	737
535	849	735
536	850	733
537	851	731
538	853	729
539	854	728
540	855	726
541	857	724
542	858	722
543	859	720
544	860	718
545	861	716
546	862	714
547	863	712
548	864	710
549	866	708
550	867	707
551	868	704
552	869	703
553	871	701
554	872	699
555	873	697
556	874	695
557	876	694
558	877	692
559	879	690
560	880	688
561	881	686
562	882	684
563	883	683
564	884	681
565	885	679
566	886	677
567	888	675
568	889	673
569	890	672
570	892	670
571	893	668
572	894	666
573	895	664
574	896	662
575	897	660
576	898	659
577	900	657
578	901	655
579	902	653
580	903	651
581	904	649
582	906	648
583	907	646
584	908	644
585	909	642
586	911	641
587	912	639
588	913	637
589	915	635
590	916	634
591	917	632
592	919	630
593	920	629
594	921	627
595	923	626
596	925	624
597	926	622
598	927	620
599	928	618
600	929	617
601	930	615
602	932	613
603	933	611
604	934	610
605	935	608
606	936	606
607	938	604
608	939	603
609	940	601
610	942	599
611	943	597
612	944	596
613	945	594
614	947	592
615	948	591
616	949	589
617	950	587
618	952	586
619	953	584
620	954	582
621	956	581
622	957	579
623	958	577
624	959	575
625	960	573
626	961	572
627	963	570
628	964	568
629	966	567
630	967	565
631	968	563
632	969	562
633	970	560
634	971	558
635	972	556
636	973	555
637	975	553
638	976	551
639	977	549
640	978	548
641	979	546
642	980	544
643	982	542
644	983	541
645	985	539
646	986	538
647	987	536
648	989	535
649	990	533
650	991	531
651	993	530
652	994	528
653	995	526
654	996	525
655	998	523
656	999	521
657	1000	520
658	1002	518
659	1003	516
660	1004	515
661	1005	513
662	1006	511
663	1008	510
664	1009	508
665	1010	506
666	1011	505
667	1013	503
668	1014	501
669	1015	500
670	1016	498
671	1018	497
672	1019	495
673	1020	493
674	1021	491
675	1023	490
676	1024	488
677	1025	486
678	1026	485
679	1027	483
680	1029	482
681	1030	480
682	1031	478
683	1032	477
684	1033	475
685	1035	473
686	1037	472
687	1038	470
688	1039	469
689	1040	467
690	1041	465
691	1042	464
692	1044	462
693	1045	460
694	1046	459
695	1047	457
696	1048	455
697	1049	454
698	1051	452
699	1052	451
700	1053	449
701	1054	447
702	1055	446
703	1057	444
704	1058	442
705	1059	441
706	1060	439
707	1061	437
708	1063	436
709	1064	434
710	1065	433
711	1066	431
712	1068	429
713	1069	428
714	1070	426
715	1071	425
716	1073	423
717	1074	421
718	1075	420
719	1076	418
720	1077	417
721	1079	415
722	1080	413
723	1081	412
724	1082	410
725	1084	409
726	1085	407
727	1086	405
728	1087	404
729	1088	402
730	1090	401
731	1091	399
732	1092	398
733	1093	396
734	1095	394
735	1096	393
736	1097	391
737	1098	390
738	1099	388
739	1101	386
740	1102	385
741	1103	383
742	1104	382
743	1106	380
744	1107	379
745	1108	377
746	1109	375
747	1110	374
748	1112	372
749	1113	371
750	1114	369
751	1115	367
752	1116	366
753	1117	364
754	1119	363
755	1120	361
756	1121	359
757	1122	358
758	1123	356
759	1124	355
760	1126	353
761	1126	352
762	1128	350
763	1129	348
764	1130	347
765	1131	345
766	1133	344
767	1134	342
768	1135	341
769	1137	339
770	1138	338
771	1139	336
772	1141	335
773	1142	333
774	1143	332
775	1145	330
776	1146	329
777	1147	327
778	1149	326
779	1150	324
780	1151	322
781	1153	321
782	1154	319
783	1155	318
784	1157	316
785	1158	315
786	1160	313
787	1161	312
788	1162	310
789	1163	309
790	1165	307
791	1166	306
792	1167	304
793	1169	303
794	1170	301
795	1171	300
796	1172	298
797	1173	297
798	1175	295
799	1176	294
800	1177	292
801	1179	291
802	1180	289
803	1181	288
804	1182	286
805	1184	285
806	1185	283
807	1187	282
808	1189	280
809	1190	279
810	1191	277
811	1192	276
812	1193	274
813	1195	273
814	1196	271
815	1197	270
816	1198	268
817	1199	266
818	1201	265
819	1202	263
820	1203	262
821	1204	260
822	1205	259
823	1207	257
824	1208	256
825	1209	254
826	1210	253
827	1212	251
828	1213	250
829	1214	248
830	1216	247
831	1217	245
832	1218	244
833	1219	242
834	1221	241
835	1222	239
836	1223	238
837	1224	236
838	1226	235
839	1227	233
840	1228	232
841	1229	230
842	1231	229
843	1232	227
844	1233	226
845	1234	224
846	1236	223
847	1237	221
848	1238	220
849	1239	218
850	1241	217
851	1242	215
852	1243	214
853	1245	212
854	1246	211
855	1247	209
856	1249	208
857	1250	207
858	1252	205
859	1254	204
860	1256	202
861	1257	201
862	1259	199
863	1261	198
864	1263	197
865	1265	195
866	1266	194
867	1268	192
868	1269	191
869	1271	189
870	1273	188
871	1275	187
872	1276	185
873	1278	184
874	1281	183
875	1282	181
876	1284	180
877	1286	178
878	1288	177
879	1289	175
880	1290	174
881	1292	172
882	1293	171
883	1294	169
884	1295	168
885	1296	166
886	1299	165
887	1300	164
888	1301	162
889	1303	161
890	1304	159
891	1305	158
892	1307	156
893	1308	155
894	1310	153
895	1311	152
896	1312	150
897	1314	149
898	1315	147
899	1317	146
900	1318	144
901	1319	143
902	1321	141
903	1322	140
904	1323	138
905	1325	137
906	1326	135
907	1327	134
908	1329	133
909	1330	131
910	1331	130
911	1332	128
912	1333	127
913	1335	125
914	1336	124
915	1337	122
916	1338	121
917	1340	119
918	1341	118
919	1342	116
920	1344	115
921	1345	113
922	1346	112
923	1347	110
924	1349	109
925	1350	107
926	1351	106
927	1353	104
928	1354	103
929	1355	102
930	1356	100
931	1357	99
932	1359	97
933	1360	96
934	1361	94
935	1363	93
936	1364	91
937	1365	90
938	1366	88
939	1367	87
940	1369	85
941	1370	84
942	1371	82
943	1373	81
944	1374	79
945	1375	78
946	1376	77
947	1377	75
948	1379	74
949	1380	72
950	1381	71
951	1382	69
952	1384	68
953	1385	66
954	1386	65
955	1387	63
956	1388	62
957	1389	60
958	1390	59
959	1391	57
960	1392	56
961	1393	55
962	1394	53
963	1395	52
964	1396	50
965	1397	49
966	1398	47
967	1399	46
968	1400	44
969	1401	43
970	1402	41
971	1402	40
972	1403	38
973	1404	37
974	1405	36
975	1406	34
976	1407	33
977	1408	31
978	1409	30
979	1410	28
980	1411	27
981	1412	25
982	1413	24
983	1414	23
984	1416	21
985	1417	20
986	1419	18
987	1420	17
988	1421	15
989	1422	14
990	1423	12
991	1424	11
992	1425	10
993	1426	8
994	1427	7
995	1428	5
996	1429	4
997	1431	2
998	1432	1
999	1433	0

982	1563	27
983	1564	25
984	1566	23
985	1567	22
986	1568	20
987	1569	19
988	1570	17
989	1572	15
990	1573	14
991	1574	12
992	1575	11
993	1577	9
994	1578	7
995	1580	6
996	1582	4
997	1583	3
998	1584	1
999	1585	0
6
947	4415	242
948	4417	237
949	4420	232
950	4423	227
951	4426	223
952	4430	218
953	4431	213
954	4434	208
955	4436	204
956	4439	199
957	4441	194
958	4443	189
959	4446	185
960	4448	180
961	4450	175
962	4453	171
963	4455	166
964	4457	161
965	4460	156
966	4461	152
967	4463	147
968	4465	142
969	4467	138
970	4468	133
971	4471	128
972	4473	124
973	4475	119
974	4479	114
975	4482	110
976	4484	105
977	4486	100
978	4488	96
979	4490	91
980	4492	87
981	4495	82
982	4498	77
983	4501	73
984	4503	68
985	4504	63
986	4507	59
987	4510	54
988	4512	50
989	4514	45
990	4516	41
991	4519	36
992	4520	31
993	4522	27
994	4524	22
995	4527	18
996	4529	13
997	4531	9
998	4533	4
999	4536	0
0
